Category,Size,Distance,tsne_1,tsne_2
person,Medium,0.62090605,17.29791,-12.513751
person,Large,0.6796017,19.27229,-14.4027405
person,Medium,0.77577394,19.765812,-8.675827
person,Small,0.8083772,14.046415,-13.938673
person,Medium,0.6093519,18.114199,-15.3306055
person,Large,0.69809294,22.644308,-13.9528
person,Medium,0.65376705,17.19501,-13.459029
person,Large,0.60500604,19.653444,-14.209373
person,Medium,0.66299754,18.225025,-15.385304
person,Medium,0.8938538,16.345959,-7.212147
person,Small,0.84902936,1.7553556,-9.036739
person,Small,0.74402446,12.663617,-13.686298
person,Small,1.1090118,28.579145,38.323982
person,Large,0.645195,20.77324,-13.347967
person,Small,0.7026296,14.676549,-10.640786
person,Medium,0.6029227,18.468752,-11.619545
person,Large,0.8140162,19.297678,-13.379602
person,Medium,0.6932405,19.008337,-13.78495
person,Medium,0.58512056,18.400915,-15.2145405
person,Medium,0.6405598,18.570143,-12.712792
person,Large,0.63820267,21.736008,-12.481183
person,Small,0.9019364,9.504486,-10.784993
person,Medium,0.7483778,17.683743,-11.912974
person,Small,0.61338514,14.904291,-12.933836
person,Small,1.0953423,-88.17666,-6.481407
person,Large,0.80718744,23.992947,-15.407637
person,Large,0.7905362,53.13443,-10.2648325
person,Medium,0.8941387,11.040014,-13.569935
person,Small,1.1415435,-85.19049,-10.767597
person,Medium,0.7834674,15.289723,-12.443025
person,Medium,0.70829165,19.840319,-15.755519
person,Medium,0.79194915,16.79422,-9.497623
person,Medium,0.65301496,17.905365,-13.8198595
person,Small,0.88088405,11.263345,-14.177547
person,Medium,0.6600157,16.272343,-14.374149
person,Medium,0.57604843,18.173382,-14.808024
person,Medium,0.8433048,7.0727205,-12.15003
person,Medium,0.76569444,17.052233,-11.050172
person,Large,0.8959102,38.428432,24.56321
person,Medium,0.68298346,16.148579,-11.401946
person,Small,0.79284316,13.884099,-11.888583
person,Medium,0.6643387,16.803701,-13.825461
person,Medium,0.63021797,19.027256,-14.821868
person,Small,0.6990502,14.456942,-12.311187
person,Large,0.6375561,20.638556,-12.668363
person,Large,0.68044204,17.836775,-11.941977
person,Medium,0.61374336,18.07679,-15.641874
person,Small,0.9009716,-1.294023,-14.669749
person,Small,1.117849,-1.5005043,12.107757
person,Large,0.7899424,18.51685,-16.81784
person,Large,0.6591192,22.129313,-12.624705
person,Small,0.6599591,16.631897,-15.026346
person,Large,0.9036588,23.665726,-18.396435
person,Large,0.8377097,26.529984,-14.613589
person,Large,0.6889593,21.02593,-12.422925
person,Medium,0.62501085,16.451885,-13.600852
person,Small,1.15818,-89.272545,-7.014673
person,Medium,0.78288746,18.20025,-9.784842
person,Medium,0.6879573,19.03189,-14.290428
person,Medium,0.59127724,18.232378,-14.885654
person,Large,0.72984564,23.625643,-9.76348
person,Large,0.6791639,22.51071,-13.864074
person,Large,0.8346303,17.72372,-16.684454
person,Small,0.85724777,8.119325,-14.838133
person,Medium,0.63319397,17.74137,-13.097081
person,Small,0.84719384,11.306174,-13.895646
person,Large,0.6986097,18.734974,-16.463251
person,Small,0.63783324,14.765132,-13.426593
person,Medium,0.68241256,20.135555,-11.082446
person,Medium,0.6405883,18.601828,-11.406344
person,Large,0.70555437,18.209814,-16.285706
person,Medium,0.673888,15.784318,-13.905985
person,Large,0.6878569,22.297052,-12.906536
person,Medium,0.87822574,16.345177,-7.2346497
person,Medium,0.58916265,19.435486,-12.6485815
person,Large,0.75406206,23.923811,-9.30882
person,Medium,0.74602854,18.528229,-9.8624115
person,Large,0.68243,22.463202,-12.57582
person,Small,0.6961351,11.599949,-14.091307
person,Large,0.7093769,20.056265,-14.209118
person,Medium,0.64086485,15.040554,-12.5758295
person,Medium,0.66566104,20.39321,-12.211726
